expression;language
I want to hear the top 5 Jamie Lidell songs;en
I want to hear a 1976 symphony by Jam Master Jay;en
Play Noctámbulo playlist ;en
Play a Wendy Carlos song from 2002;en
Play me a Frank Farian ep;en
 some chanson style music. ;en
Play the song Waar Is De Zon on Slacker;en
Play Elitsa Todorova music;en
Play gothic music ;en
Play Noctámbulo pl ;en
 1981 tunes by Jiles Perry Richardson on Lastfm for theme  ;en
 the top twenty chant by Wise. ;en
 some Sabah from the eighties ;en
 Going Down To The River on Pandora ;en
Please  me something  New Wave Of American Heavy Metal ;en
Play most popular from Nil Burak on Slacker;en
Play Change Has Come on Google Music.;en
 Fey's album Diamond Head on Zvooq ;en
Play some nineties music on Pandora;en
Play El Cant Dels Ocells by vini lopez.;en
Play Dawn Richard song White Summer;en
 me a fifties song by Chingy ;en
Play some Geir Jenssen.;en
Can you play something from the fourties, preferably a symphony?;en
Play me some Terror music;en
 Within You Without You by Distance on zvooq. ;en
Play a top song by Carson Parks on Groove Shark;en
Please play some music from the seventies movement;en
I'd like to hear Helen Baylor;en
 music by Paul Mccartney ;en
 me a song by Saki Nakajima ;en
Play Magic Sam from the thirties;en
 Rain by Subliminal on Groove Shark ;en
play laura love songs from 1959;en
play Wolves by Larry Gatlin;en
 my tribute by Billy Cox ;en
Play me some music youtube;en
Play me a fifties song;en
Play the playlist introspective;en
Play a record from 2015;en
 Dj Scratch's eighties music on Iheart. ;en
Play Giovanni Battista Guadagnini's 1982 tracks.;en
play Deezer tunes Are & Be;en
play Slacker tunes;en
 some theme songs from 1974 ;en
Play me Hier Encore by greydon square;en
Please play something that's freak folk on Google Music;en
I want to hear something from the nineties by Alissa Musto on Groove Shark;en
 the most popular Coti songs on Pandora ;en
Use service Vimeo the genre slow  ;en
I want to hear the top Tim Madison;en
 some Avantgarde music on Netflix. ;en
 a symphony from Bob Hardy please ;en
 the track titled Faget ;en
 a soundtrack from 1954. ;en
play 1981 music on Last Fm;en
Play a song from the seventies by Pepe Aguilar;en
I need to hear some r&b music off of iheart;en
play songs by Wise ;en
Play me some folklore music;en
play robert fripp sound track on Pandora;en
Play music on Spotify. ;en
 some Origa on Google Music ;en
 the most popular chant song by Hossein Alizadeh  around 2009 ;en
 theme music from the twenties by Tata Young ;en
Play my entertaining playlist;en
play the music track of 1998;en
play 1960 chant music by Hermann Baumann;en
 a symphony that is good from 2000 ;en
 music by Ryan Malcolm  Sympathy For The Devil on Pandora ;en
 some David Mallett on last fm ;en
Play the last song by Goldie;en
Can you play any chant from the fourties?;en
Play fifties music ;en
 a  song by Carson Parks on Groove Shark ;en
Play top Rosanne Cash;en
Open pandora and  udhreko choli from Chowdiah ;en
I would like to hear a   Tim Reynolds ;en
 me a Mario Vazquez movement ;en
use Slacker to listen to seventies  ;en
 the seventies album on last fm ;en
play Party Ben on Slacker;en
Play a 2011 ballad by Evil Jared Hasselhoff on Lastfm.;en
I want to hear Sebastian's songs  the thirties  Youtube ;en
something on Spotify please;en
 Deezer form 2010 tune by Dave Grohl ;en
Play me some grunge music;en
 the top hits of 2016 ;en
 1988 chant music on Itunes ;en
play In Your Eyes by gareth gates on Netflix;en
Play new music from Liang Wern Fook;en
Play Revival music. ;en
Play a 2014 theme from Greg Pattillo;en
 something by Chris Knight ;en
Play some movement from 1959 on deezer.;en
 Neutrons by Seun Kuti ;en
 Mohammed Abdu from top 20 ;en
Use netflix to play a record by Emil Gilels from year 2015;en
Play Clásicos del Hip Hop Español;en
Play Metal Crash Course playlist.;en
 Inside The Eye by twinkie clark ;en
I'd like to listen to Tom Cochrane's 1990   Zvooq. ;en
Play any song from the eighties;en
 me a song  1972 by Sweet Emma Barrett ;en
 the heinz strobl  from 2016 on Groove Shark ;en
Play March Of The Soviet Tankmen from Gloria Gaither;en
I'd like to hear chant songs  nineties ;en
Play some soul music ;en
Can I hear a movement by rookantha gunathilake on the Vimeo service?;en
I want to hear Vegetables  pharrell williams ;en
Let's hear some tunes  the thirties. ;en
 a record from 1982 ;en
 a song from 1973. ;en
play a new song from the seventies;en
Play me a tune by Mick Brown;en
play new music by Elmore James with google music;en
Play Bald by Kaskade.;en
play My Back Pages by Paul Young on vimeo ;en
Play the greatest Nicholaus Arson concerto from around 2000;en
Wish to hear music  the year 1996 ;en
 The Cherry-tree Carol by Edwin Mccain ;en
Can you play fifties theme music by Mohsen Chavoshi;en
play Fereydoun Farrokhzad best track;en
Play music from Youtube.;en
Play Dancing Through Life by Ronald Isley on spotify;en
Play some showtunes music.;en
 Say A Word by La India ;en
Can you  that last ep from the twenties ;en
 1960 chant music by Hermann Baumann ;en
 some eighties movement music ;en
Play some symphonic rock.;en
 me a Maia Hirasawa soundtrack from 1951 ;en
Play industrial music.;en
I want to listen to the album going back to the blue ridge mountains on iheart;en
 a concerto from sam sparro ;en
 a tune from 2000 by Bronislau Kaper ;en
 Top 100 Indie Tracks on Spotify on Lastfm ;en
 the last track by Shavo Odadjian ;en
play the song Shine A Light;en
play a 1994 tune by Lena Horne;en
Play shining down by Tsukiko Amano on pandora.;en
I'd  to hear Helen Baylor ;en
Play Vic Ruggiero music from 2007;en
Open up Lastfm and play some songs.;en
 music by Janet Paschal ;en
Play the best song by Henry Rollins.;en
Play Who Knows Where The Time Goes? by Grigory Leps;en
play soem nineties Charles Thompson;en
play Pandora tunes from the fourties;en
Play a symphony from Bob Hardy please;en
play an eighties track ;en
Can you play some fifties music by lavern baker;en
I want to hear Shooby Taylor's Tearing  The  Charts. ;en
Play Masashi Hamauzu's newest symphony on Itunes.;en
play a soundtrack by Sarah Geronimo on google music;en
I want to hear the new movement from Richard Harvey;en
I want to hear Dave Seaman's ep;en
 the playlist funtime activity ;en
I want to hear music  the sixties. ;en
Play music using Last Fm;en
play music from 2014 ;en
play a top twenty symphony of 2010;en
 a 2007 track from Adam Jones ;en
 Doctor Fink if i could choose ;en
 a track from 1985. ;en
On Itunes  the latest Anna Yesipova ep ;en
I want to hear De Eerste Keer  Paul Caiafa off of Google  ;en
I need to hear a thirties soundtrack;en
Play any chant from 1973;en
Play some seventies music on Netflix.;en
Play a twenties tune by Jodie Aysha.;en
 dj kentaro from the year 1994 ;en
Will you  my Nuestros 80 playlist ;en
Play Classical X ;en
Let me hear the top album by the artist, Skin.;en
 music by Amii Stewart with Itunes ;en
  Lodge by Alkabli on lastfm . ;en
 a top fifty track from the twenties ;en
play Piano Ballads on Netflix;en
Can you  me some eighties music by Adele ;en
 me the last 1980 record by Brenda Kahn ;en
Play new melody by Kenji Ito on Itunes.;en
Play Punk Rock music;en
Create a theme station with Jim Creeggan records and collabs ;en
Listen to Power Gaming playlist;en
Play music by blowfly from the seventies;en
Open iheart and play Té Para Tres;en
 the best sort by Jan Robbe on pandora ;en
Play Tina Cousins from 1956;en
 Seven Steps To Heaven by Wikluh Sky ;en
 Deezer tunes Are & Be ;en
Play a 1950 album on Iheart;en
Will you play my Nuestros 80 playlist;en
Play the top-5 sort of ballad music from 2012.;en
 Someday Soon by fiona ;en
Play Humour ;en
 something from the jonathon lee movement ;en
play Paula Campbell music from 1993;en
 steve harris False Gestures  A Devious Public album ;en
 me a Mel Draisey tune  the fourties with vimeo ;en
 Robin Hood Rescuing Three Squires by Bhupinder Singh ;en
 me a song from Luxury Liner ;en
Play a 1974 sound track on Vimeo.;en
I want to hear some songs  the twenties ;en
Use Netflix to  music ;en
Play Seasons In The Sun by Rosco Gordon on iheart;en
 opera music on google music ;en
Play a concerto from the nineties;en
 me a song  the twenties by Randy Bachman ;en
Play bebob on Iheart;en
 some music by Karl Blau. ;en
I want to hear some Boris Grebenchtchikov  Zvooq ;en
Play the theme tune that Christian Fennesz wrote;en
play any sixties song;en
Play Spotify;en
 a 1950 album on Iheart ;en
Play a song off the Nicht Sprechen album;en
turn on Last Fm to listen to Chara ballad from 1988;en
Play the best 1981 sound track from Ric Fierabracci;en
Use Netflix to  In The Arms Of A Woman  ;en
I want to hear something from the top-fifty by Jose Pasillas;en
Can you  any chant from the fourties? ;en
Play a Ladyhawke record ;en
Play Shinya Yamada music from 1962 on Groove Shark ;en
Use the service Zvooq to  top-10  artist Coolio ;en
 the album 21st Century Live  Chet Lam on Itunes. ;en
Plan an album  Roni Duani. ;en
I want to listen to an album sorted by last, open Google Music and play Paulinho Da Viola.;en
Play a song from the thirties on Zvooq;en
Play some gothic rock.;en
I want to hear any top five music from Gene Autry;en
 some fifties tunes by Mike Mccready ;en
Play Slow Rock on Lastfm.;en
Play some Techno ;en
Use Deezer to play the last song from Lee Dorrian;en
 Saturday Nights & Sunday Mornings ;en
play 1981 tunes by Jiles Perry Richardson on Lastfm for theme music;en
Play mere lapsed by Marilyn Moore.;en
play journey list;en
Please  Kabhi Jo Baadal Barse by Ruth Lorenzo ;en
I want to listen to  music. ;en
Sort eighties  from the last ;en
Play Harel Skaat;en
play some Stephen Jones on Youtube;en
 a song off The Best Of Siouxsie & The Banshees  Faustino Oramas ;en
Play the top-twenty from Alexander Braginsky.;en
 Barry Manilow from the twenties ;en
Play a native us song on Last Fm;en
Play the playlist, Hardstyle, Baby.;en
Play the song Le Renouveau;en
play some Origa on Google Music;en
Play concerto from 1951 ;en
Let me listen to The  Of Nature album  Paul Draper. ;en
play ep by Arjen Anthony Lucassen;en
Open Netflix and play Kan Man Gifta Sig I Jeans?;en
 music from the seventies ;en
play Isham Jones ;en
play some good amber gristak on Lastfm;en
play Tonight Only! by Nastya Kamenskih;en
Play playlist Chilled R&B ;en
play latest Shaggy music ;en
Plays some akb48  Youtube ;en
 some latin on Zvooq ;en
Can you play a top song from a chyi chin concerto;en
Open Last Fm and play the top song from Daniel Lee Chee Hun;en
 Post Garage Wave Revival playlist. ;en
 Tonight Only! by Nastya Kamenskih ;en
Play music from Lastfm ;en
play Fernando Olvera ;en
play some 2002 music ;en
Play a seventies Tom Thacker ballad;en
I want to hear music on my Slacker app;en
Play some indie music on spotify.;en
 Itunes songs by Gerard Way ;en
Please play This Is The Day by Brian Robertson.;en
I'd like to hear chant songs from nineties;en
 That Stubborn Kinda Fellow by Michael Amott ;en
 the last Jonny Wickersham song ;en
Play 25 To Life by Paul Riley on Deezer.;en
 music by Christian Bautista ;en
Play Deezer ;en
I want to hear the new Latin Pop Rising list;en
I want to hear the album Suites & Sweets;en
Can you play the latest faust soundtrack from 1967?;en
 Khujo eighties track song ;en
 me a concerto by Jethro Burns from Zvooq ;en
I want to hear the newest music from The Railway Children;en
 Sergei Anatoljewitsch Kurjochin's music on Groove Shark. ;en
Play the top fifty record from Alan Jardine;en
play The Trail Of The Lonesome Pine on Netflix;en
 music on Deezer by Imogen Heap ;en
Can you play a 1967 soundtrack on Slacker;en
 a Samira Said ballad from the nineties ;en
Can you play a sonata;en
I want to hear   the Lotus Flower album by Andy Mccoy ;en
Play Spotify;en
Play a record from 2010.;en
 Wynton Kelly music on Netflix sort by popular ;en
Play some nineties chant music from Nicoleta Nicola;en
Play Is This My World? by Leo Arnaud;en
I want to listen to Swing music on Iheart;en
Play some Armik from the fourties;en
Play music from the seventies;en
Play some Last Fm music like the 1992 ep from Peaches;en
I'd like to listen to Tom Cochrane's 1990 ep on Zvooq.;en
 some music on Vimeo. ;en
 Yuauea by Rick Ross ;en
Open Lastfm and play a voluntad del cielo from Wax;en
Play the greatest ballad from the seventies;en
 something by Louisiana Blues ;en
play chant music from 1993;en
play fourties tunes ;en
I wish to listen to some fifties music.;en
Please  me a popular track from 1984. ;en
 the newest 2016 ep from Boaz Mauda. ;en
Play sixties music by giovanni battista guadagnini.;en
Play Shinehead's music from the twenties on Slacker.;en
play a Keith Richards album;en
Play Bald by Kaskade. ;en
 dhafer youssef top-twenty on netflix ;en
Play me a seventies ep;en
play the song Si No Te Hubiera Conocido by Haidar Salim;en
 good Pure Soul on netflix ;en
 prints in the stone by Helen Baylor ;en
 music from the playlist Get Your Mind Right ;en
 a record from 2005 by Ruslana Lyschytschko. ;en
Play fourties soundtrack from Hamish Maccunn;en
 1962 music on Netflix ;en
Use Spotify to  music ;en
 a sound track  Pee Wee Russell on Zvooq. ;en
 me a tune by Mick Brown ;en
Play concerto from 1951;en
 music from the twenties ;en
Play some movement music by Perez Prado on Iheart;en
 a fairouz tune on Deezer ;en
I want to hear music on  Slacker app ;en
Can you pull up and  something on Itunes ;en
play By The Sleepy Lagoon by Greg Kurstin;en
 Ik Hou Van Jou by Elena Temnikova ;en
Use Netflix to play music;en
Play a twenties track by the aj carothers on Zvooq.;en
Play breathtaking music ;en
I want to hear Rock Bottom  Playa Fly  Slacker ;en
 a song by Tim Finn on Last Fm ;en
play songs from the sixties;en
 the top song from Damon Albarn using Slacker ;en
 thirties symphony music from Nigga on Iheart ;en
Play the red room sessions from chris cunningham;en
Play Adieu by Al Arsenault;en
 Kaori Mochida's most popular music on Google Music. ;en
Play me a song by Steve Hackett from Manuel;en
Play Donna Summer ;en
 the album Cara De Dios. ;en
Open Netflix and play David Frizzell;en
play Latin Dinner;en
Play a ballad by Owen Pallett from the seventies on Slacker.;en
Play music off Youtube. ;en
 music from Carina Round ;en
Play new Teo Macero ;en
Lets hear some booty  ;en
 me a symphony by Ricky Bell ;en
 music by mina caputo on Lastfm ;en
Play me a song by Hank Thompson from Moa Anbessa;en
Open Youtube and play Nanana from Massimo Altomare;en
 the greatest soundtrack  Nhat Son on Last Fm. ;en
Can you  me some britpop music ;en
 the top fifty soundtrack from the twenties. ;en
I want to hear that track  1991 ;en
 the greatest ballad from the seventies ;en
Play thirties on Lastfm ;en
I want to hear a soundtrack by dj ozma from the sixties.;en
play music by Ryan Malcolm from Sympathy For The Devil on Pandora;en
something on Spotify please ;en
 the latest Thelma Aoyama ;en
 a song from the seventies by Pepe Aguilar ;en
play good Classified songs on Vimeo;en
Play top 20 from frank farian;en
 Grabsteinland I by Doctor Fink on slacker radio ;en
Please  something on Last Fm ;en
 a ballad from 1997. ;en
play Doctor Fink if i could choose;en
Play Chad I Ginsburg;en
Play Julie Driscoll ;en
 the music Hands Up ;en
 a melody by Adassa from the twenties ;en
Play soundtrack by Armand Van Helden;en
Play the most popular stuff by Tina Dico;en
Play some music from 1962 from Adeyto;en
 music from the playlist Late Night Jazz ;en
Use netflix to  a record by Emil Gilels  year 2015 ;en
Play Sense Tu from Ebi Hamedi;en
 Pandora Christian Gangsta Rap ;en
 some Mf Doom from the sixties on pandora. ;en
 the top-20 best Chicane songs on Deezer ;en
 Pacific Ocean Blues by John Doe on Lastfm ;en
Use Groove Shark to play music from the nineties;en
play Itunes album mondovisione ;en
Play me a tune by john clayton;en
Play the most popular music from Nat Stuckey on Itunes.;en
Play a 2009 concerto on Deezer.;en
Play Supernaut by Armand Van Helden;en
Play something by Louisiana Blues;en
I want to hear Papa Mali's   the fifties ;en
Play symphony music from 1991 by Irvin Mayfield;en
 some Mike Burney on Google Music. ;en
Play me a Mario Vazquez movement;en
Open Itunes and  Heath music from 1981 ;en
 Dj Ozma top songs ;en
Play music on Iheart;en
 fourties music on Pandora. ;en
 a song of I Myself  Me on Youtube ;en
I want to hear some  Roches ;en
Play Justin Broadrick's music on Slacker.;en
 me a song from 1968 on Spotify ;en
Play a song from 1990 on Netflix;en
 a popular Gurdas Maan track ;en
Play me the greatest Howard Levy song;en
 Brian Clifton off Groove Shark. ;en
Play some happy gabber. ;en
 the album Vibrations by Marion Elise Raven ;en
 some music on groove shark. ;en
play a track by Mila Islam from Deezer;en
 a sixties song by George Sanger ;en
Can you play some Andrew Cash music on Slacker;en
Play Pura Vida.;en
I want to hear Vegetables by pharrell williams;en
 artist Vlada Divljan  something he did that is good ;en
 a Paolo Gregoletto song ;en
Play some thirties music on Netflix.;en
 Apbl98 by Alden Penner. ;en
play Google Music tunes ;en
play Matt Walker tunes ;en
 classic rock on Groove Shark ;en
play some nineties music;en
Play 2003 Ben Burnley on Spotify;en
I want to hear a track from the fourties.;en
Play the newest ballad from Chad Urmston;en
 the music track of 1998 ;en
 tuomas holopainen's The 21 Project. ;en
Play Chantal Kreviazuk, Sister Ray;en
Play my 88 Keys playlist.;en
 the newest Martin Solveig sound track ;en
Open Lastfm and start playing whatever;en
Can you play a song off an album by Shirley Horn;en
Play the track Grow Old With Me by artist Chloe Rose Lattanzi;en
